game,game_url,dude,rank,start_time,list,list_url
Twilight Imperium (Third Edition),https://boardgamegeek.com/boardgame/12493/twilight-imperium-third-edition,,10,14m13s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
Ugg-Tect,https://boardgamegeek.com/boardgame/60131/ugg-tect,,9,16m50s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
Cosmic Encounter,https://boardgamegeek.com/boardgame/39463/cosmic-encounter,,8,18m37s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
Time's Up!,https://boardgamegeek.com/boardgame/1353/times,,7,22m05s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
I'm the Boss!,https://boardgamegeek.com/boardgame/115/im-boss,,6,25m26s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
RoboRally,https://boardgamegeek.com/boardgame/18/roborally,,5,27m19s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
Cutthroat Caverns,https://boardgamegeek.com/boardgame/28259/cutthroat-caverns,,4,30m20s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
Risk 2210 A.D.,https://boardgamegeek.com/boardgame/1829/risk-2210-d,,3,32m55s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
Diplomacy,https://boardgamegeek.com/boardgame/483/diplomacy,,2,35m31s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
Lifeboats,https://boardgamegeek.com/boardgame/249/lifeboats,,1,39m06s,Top Ten Games NOT to play with an Angry Person,https://www.youtube.com/watch?v=dFex4FGzKjA
Trötofant,https://boardgamegeek.com/boardgame/25537/trotofant,,10,11m01s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
10 Days in the Americas,https://boardgamegeek.com/boardgame/64956/10-days-americas,,9,12m39s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
duck! duck! Go!,https://boardgamegeek.com/boardgame/35964/duck-duck-go,,8,15m07s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
Bling Bling Gemstone,https://boardgamegeek.com/boardgame/123228/bling-bling-gemstone,,7,16m48s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
Battleground: Fantasy Warfare,https://boardgamegeek.com/boardgame/18985/battleground-fantasy-warfare,,6,18m42s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
Dungeon Fighter,https://boardgamegeek.com/boardgame/102548/dungeon-fighter,,5,21m39s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
String Railway,https://boardgamegeek.com/boardgame/76674/string-railway,,4,23m25s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
Fairy Tale,https://boardgamegeek.com/boardgame/13823/fairy-tale,,3,26m24s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
SmileyFace,https://boardgamegeek.com/boardgame/72766/smileyface,,2,29m12s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
Igloo Pop,https://boardgamegeek.com/boardgame/8668/igloo-pop,,1,31m29s,Top Ten Board Games That Look Stupid (but are Actually Fun),https://www.youtube.com/watch?v=H8SsUMPKlTk
Ca$h 'n Gun$,https://boardgamegeek.com/boardgame/19237/cah-n-gun,,10,15m50s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
Compatibility,https://boardgamegeek.com/boardgame/2604/compatibility,,9,20m40s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
Pluckin' Pairs,https://boardgamegeek.com/boardgame/121041/pluckin-pairs,,8,23m24s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
Dixit,https://boardgamegeek.com/boardgame/39856/dixit,,7,27m12s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
Telestrations,https://boardgamegeek.com/boardgame/46213/telestrations,,6,31m10s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
Beyond Balderdash,https://boardgamegeek.com/boardgame/1544/beyond-balderdash,,5,33m32s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
Faces,https://boardgamegeek.com/boardgame/17705/faces,,4,37m12s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
Say Anything,https://boardgamegeek.com/boardgame/33604/say-anything,,3,40m28s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
Wits & Wagers,https://boardgamegeek.com/boardgame/20100/wits-wagers,,2,43m59s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
Time's Up!,https://boardgamegeek.com/boardgame/1353/times,,1,47m19s,Top Ten Party Games,https://www.youtube.com/watch?v=wiozIEyWs8A
